epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.67594,2.17172,0.02807,2.17572,0.00298,0.42677,0.0022,0.00063,3.25238,6.52343,6.55345,0.0703659,0.00329268,0.00329268
2,15.3339,2.17161,0.02773,2.17864,0.00442,0.18268,0.00451,0.0014,3.05487,1.53537,3.45916,0.0403003,0.00656042,0.00656042
3,21.8186,2.14976,0.02832,2.16793,0.06547,0.08504,0.02044,0.00612,3.28052,0.05001,4.26598,0.0101687,0.00976215,0.00976215
4,28.3486,2.08727,0.02684,2.09583,0.01346,0.50866,0.01079,0.0039,2.58498,0.33198,10.9271,0.009703,0.009703,0.009703
5,34.7426,2.06192,0.02585,2.05374,0.28599,0.27717,0.22049,0.08528,2.1262,0.02584,2.08686,0.009604,0.009604,0.009604
6,41.193,2.0117,0.02519,1.98876,0.21235,0.21417,0.11885,0.04787,2.03928,0.03285,2.05015,0.009505,0.009505,0.009505
7,47.677,1.97177,0.02428,1.95224,0.30892,0.32283,0.26271,0.09758,2.00484,0.02828,2.07803,0.009406,0.009406,0.009406
8,54.2213,1.97651,0.02345,1.94299,0.25633,0.22677,0.16148,0.06459,2.12974,0.02761,2.1672,0.009307,0.009307,0.009307
9,60.6964,1.9475,0.023,1.91307,0.31015,0.38583,0.28346,0.11322,1.94923,0.02697,1.96779,0.009208,0.009208,0.009208
10,67.2192,1.923,0.02296,1.89533,0.27038,0.29354,0.21696,0.08516,2.1445,0.02577,2.05328,0.009109,0.009109,0.009109
11,73.6021,1.90861,0.02252,1.87483,0.40165,0.3811,0.3429,0.14524,1.92618,0.0216,1.89827,0.00901,0.00901,0.00901
12,80.0127,1.87802,0.02229,1.88242,0.39968,0.32922,0.28027,0.11155,1.96017,0.02335,1.95133,0.008911,0.008911,0.008911
13,86.3307,1.85737,0.02237,1.85021,0.33418,0.14148,0.12239,0.04767,2.27696,0.0356,2.50055,0.008812,0.008812,0.008812
14,92.7651,1.84935,0.02206,1.83232,0.44406,0.41417,0.40747,0.17451,1.95948,0.01983,1.8807,0.008713,0.008713,0.008713
15,99.1498,1.84417,0.02163,1.81973,0.38151,0.36378,0.32984,0.13303,1.94844,0.02259,1.91608,0.008614,0.008614,0.008614
16,105.486,1.85667,0.02158,1.82806,0.46182,0.4473,0.42447,0.18608,1.81047,0.02061,1.77221,0.008515,0.008515,0.008515
17,111.83,1.81407,0.02103,1.7986,0.46282,0.42835,0.42742,0.17821,1.89696,0.02092,1.86042,0.008416,0.008416,0.008416
18,118.145,1.8111,0.02117,1.81082,0.47993,0.42047,0.41487,0.17328,1.92185,0.02138,1.87854,0.008317,0.008317,0.008317
19,124.509,1.80639,0.02084,1.77814,0.45378,0.48819,0.45881,0.19677,1.86095,0.01983,1.76911,0.008218,0.008218,0.008218
20,131.142,1.80527,0.02093,1.7788,0.47431,0.46299,0.44349,0.17462,1.89696,0.01951,1.85906,0.008119,0.008119,0.008119
21,137.564,1.8172,0.021,1.77707,0.50067,0.28504,0.30106,0.12071,2.07416,0.02891,2.16891,0.00802,0.00802,0.00802
22,144.188,1.8013,0.02036,1.75803,0.48096,0.49606,0.47892,0.18972,1.96493,0.01866,1.90696,0.007921,0.007921,0.007921
23,150.546,1.75871,0.01994,1.74943,0.46472,0.49606,0.46566,0.19004,1.88645,0.01959,1.87065,0.007822,0.007822,0.007822
24,157.437,1.77807,0.0202,1.75378,0.4021,0.46281,0.40405,0.17061,1.83227,0.02046,1.83975,0.007723,0.007723,0.007723
25,163.927,1.77495,0.02059,1.775,0.53975,0.48031,0.48437,0.21562,1.84491,0.01879,1.78892,0.007624,0.007624,0.007624
26,170.323,1.7617,0.02046,1.76153,0.50626,0.43465,0.46967,0.20978,1.82938,0.01966,1.77248,0.007525,0.007525,0.007525
27,176.783,1.75969,0.01988,1.7556,0.55571,0.44724,0.50062,0.20751,1.84846,0.01872,1.80338,0.007426,0.007426,0.007426
28,183.275,1.76132,0.01934,1.73277,0.54086,0.43039,0.47504,0.215,1.81607,0.01929,1.78836,0.007327,0.007327,0.007327
29,189.362,1.74062,0.01989,1.73162,0.49767,0.44933,0.4732,0.20246,1.8694,0.01943,1.85683,0.007228,0.007228,0.007228
30,195.306,1.75916,0.02013,1.73384,0.52847,0.44124,0.48634,0.20152,1.87477,0.01992,1.8149,0.007129,0.007129,0.007129
31,201.237,1.74907,0.01993,1.72975,0.53669,0.50551,0.5115,0.23821,1.78783,0.01864,1.73228,0.00703,0.00703,0.00703
32,207.793,1.70851,0.01946,1.70605,0.45461,0.46772,0.41877,0.17997,1.82118,0.02136,1.82866,0.006931,0.006931,0.006931
33,214.496,1.72374,0.01958,1.72678,0.56742,0.45039,0.5021,0.20492,1.90995,0.0188,1.88398,0.006832,0.006832,0.006832
34,220.629,1.69557,0.01922,1.69651,0.51771,0.51811,0.51484,0.22083,1.78365,0.01814,1.77153,0.006733,0.006733,0.006733
35,226.546,1.71617,0.01906,1.70283,0.52509,0.51181,0.52444,0.22846,1.78402,0.0179,1.76428,0.006634,0.006634,0.006634
36,233.109,1.69152,0.019,1.70034,0.60841,0.44882,0.50558,0.21049,1.90878,0.01866,1.84235,0.006535,0.006535,0.006535
37,239.129,1.72231,0.01869,1.71599,0.49365,0.45752,0.46714,0.1914,1.90805,0.01978,1.88962,0.006436,0.006436,0.006436
38,245.545,1.69559,0.01899,1.70233,0.51512,0.36693,0.40849,0.1599,1.88907,0.02025,1.88149,0.006337,0.006337,0.006337
39,251.431,1.70795,0.01863,1.69619,0.54706,0.54488,0.55602,0.24483,1.77366,0.01731,1.74558,0.006238,0.006238,0.006238
40,257.301,1.68726,0.01895,1.69181,0.54783,0.53041,0.53787,0.22451,1.84331,0.01761,1.84173,0.006139,0.006139,0.006139
41,263.152,1.67809,0.01875,1.6801,0.5744,0.45696,0.53298,0.22998,1.8199,0.01839,1.79461,0.00604,0.00604,0.00604
