epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.07821,2.19058,0.0283,2.16753,0.01451,0.34016,0.01101,0.00372,2.54803,4.83345,3.9342,0.0703659,0.00329268,0.00329268
2,13.5137,2.18347,0.02797,2.16573,0.00078,0.00315,0.00015,3e-05,5.48006,0.2412,31.4528,0.0403003,0.00656042,0.00656042
3,20.0677,2.15426,0.02727,2.14493,0.13429,0.19213,0.08838,0.0266,2.44469,0.15449,2.6713,0.0101687,0.00976215,0.00976215
4,26.4966,2.08893,0.02652,2.07197,0.01089,0.05827,0.0042,0.00114,2.74103,0.05177,3.69156,0.009703,0.009703,0.009703
5,33.126,2.05796,0.02599,2.06084,0.0711,0.06614,0.01529,0.00572,2.50319,0.05219,2.78004,0.009604,0.009604,0.009604
