epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.7191,2.18554,0.02825,2.17886,0.01739,0.19685,0.01165,0.00342,2.58697,1.83335,7.58078,0.0703659,0.00329268,0.00329268
2,14.2654,2.19862,0.02808,2.16717,0.01731,0.0315,0.00818,0.00322,2.67584,0.05433,3.14238,0.0403003,0.00656042,0.00656042
3,20.5687,2.15442,0.02773,2.15337,0.04012,0.01732,0.00821,0.00381,3.12273,0.04886,3.57937,0.0101687,0.00976215,0.00976215
4,27.0377,2.08835,0.0268,2.07609,0.13118,0.15433,0.06585,0.01976,2.53918,0.03633,2.73132,0.009703,0.009703,0.009703
5,33.4064,2.07124,0.02571,2.04657,0.10426,0.08504,0.03944,0.01589,2.54597,0.0408,2.76709,0.009604,0.009604,0.009604
6,39.9371,2.0262,0.02482,1.99037,0.29585,0.27087,0.20069,0.07562,2.35095,0.02706,2.40887,0.009505,0.009505,0.009505
7,46.3202,1.98273,0.02458,1.95955,0.28987,0.32598,0.23576,0.08104,2.07005,0.02677,2.08111,0.009406,0.009406,0.009406
8,52.6933,1.98442,0.02349,1.94836,0.38522,0.30394,0.27981,0.11268,2.02214,0.02375,1.94866,0.009307,0.009307,0.009307
9,59.0637,1.95194,0.02312,1.89514,0.37411,0.3874,0.31742,0.12468,2.00236,0.02507,1.89085,0.009208,0.009208,0.009208
10,65.4122,1.92758,0.02238,1.88083,0.28354,0.21575,0.16699,0.06452,2.38007,0.03134,2.44703,0.009109,0.009109,0.009109
11,71.7619,1.91277,0.02242,1.8716,0.40133,0.35748,0.31641,0.12264,2.09085,0.0231,2.05283,0.00901,0.00901,0.00901
12,78.0828,1.88297,0.02247,1.86519,0.35395,0.28819,0.26446,0.10358,2.07396,0.024,2.04348,0.008911,0.008911,0.008911
13,84.3627,1.87537,0.02227,1.85343,0.35714,0.34121,0.27723,0.09599,2.18859,0.02299,2.17534,0.008812,0.008812,0.008812
14,90.7805,1.87295,0.02213,1.83936,0.45174,0.49134,0.44658,0.18151,1.89926,0.02149,1.8864,0.008713,0.008713,0.008713
15,97.3551,1.85533,0.02157,1.84009,0.42366,0.40864,0.37469,0.15265,1.99206,0.02124,1.91673,0.008614,0.008614,0.008614
16,103.699,1.85517,0.02175,1.83783,0.45186,0.39685,0.38066,0.16187,1.89734,0.02189,1.8874,0.008515,0.008515,0.008515
17,109.989,1.81471,0.02134,1.80693,0.42188,0.48189,0.42744,0.17374,1.94413,0.0218,1.92076,0.008416,0.008416,0.008416
18,116.33,1.83444,0.02146,1.83066,0.49366,0.46929,0.45044,0.17331,1.89192,0.02039,1.82226,0.008317,0.008317,0.008317
19,122.632,1.81583,0.02099,1.79066,0.44871,0.45827,0.44139,0.18069,1.91265,0.01934,1.85343,0.008218,0.008218,0.008218
20,129.042,1.79923,0.02105,1.7845,0.484,0.40178,0.39761,0.14669,2.00437,0.02133,1.95669,0.008119,0.008119,0.008119
21,135.312,1.81927,0.02112,1.79161,0.37094,0.34803,0.28303,0.10737,2.04794,0.02354,2.00446,0.00802,0.00802,0.00802
