epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.12433,2.20996,2.71903,2.1832,0.0006,0.09291,0.00036,0.00012,3.51276,inf,28.5989,0.0707317,0.00325203,0.00325203
2,13.6312,2.03948,2.37772,2.10135,0.00904,0.13071,0.00385,0.00114,2.83996,35.7701,4.28474,0.0407252,0.00657885,0.00657885
3,18.4598,2.02464,2.31104,2.09584,0.12081,0.11339,0.05683,0.01836,2.47349,46.3212,2.98773,0.0107121,0.00989906,0.00989906
4,23.7113,1.94765,2.23906,2.05069,0.08537,0.14646,0.04743,0.0151,2.38608,15.6426,2.96706,0.0099703,0.0099703,0.0099703
5,28.462,1.93065,2.16313,2.02825,0.29567,0.26614,0.20328,0.06981,2.15737,4.07716,2.36664,0.0099604,0.0099604,0.0099604
6,33.2505,1.90517,2.15913,2.00303,0.13904,0.07244,0.03814,0.01196,2.48587,4.72849,2.91766,0.0099505,0.0099505,0.0099505
7,37.9851,1.86301,2.07342,1.96255,0.41416,0.34178,0.32368,0.124,1.95181,6.05353,2.19491,0.0099406,0.0099406,0.0099406
8,42.7141,1.81709,2.01421,1.9144,0.27531,0.31339,0.20972,0.08112,2.03161,3.6349,2.12405,0.0099307,0.0099307,0.0099307
9,47.4164,1.82018,2.00026,1.91441,0.23049,0.19387,0.14284,0.05492,2.03225,3.04398,2.25574,0.0099208,0.0099208,0.0099208
10,52.2732,1.8195,1.9832,1.90166,0.45468,0.39213,0.38149,0.13294,2.09427,2.09558,2.16568,0.0099109,0.0099109,0.0099109
11,56.9883,1.79971,1.93356,1.87344,0.37953,0.41324,0.36392,0.14935,1.89469,3.22534,2.0764,0.009901,0.009901,0.009901
12,62.4842,1.77909,1.90708,1.90649,0.52026,0.41102,0.43556,0.18682,1.92481,1.94935,2.06097,0.0098911,0.0098911,0.0098911
13,67.1583,1.75061,1.86548,1.85617,0.48466,0.39528,0.40227,0.16439,1.98178,2.027,2.04096,0.0098812,0.0098812,0.0098812
14,72.3496,1.74975,1.87842,1.8606,0.36826,0.33386,0.28515,0.09981,2.1812,3.24193,2.41195,0.0098713,0.0098713,0.0098713
15,77.1025,1.74908,1.88214,1.87045,0.50585,0.56693,0.5352,0.211,1.85488,1.85238,1.97957,0.0098614,0.0098614,0.0098614
16,82.0962,1.73533,1.82644,1.8506,0.36902,0.25039,0.2263,0.09429,2.20798,2.88919,2.3285,0.0098515,0.0098515,0.0098515
17,86.9059,1.69794,1.81265,1.8232,0.54082,0.45984,0.5048,0.21784,1.88354,1.96229,2.04365,0.0098416,0.0098416,0.0098416
18,91.7555,1.68142,1.81924,1.82828,0.45111,0.45512,0.39448,0.16017,1.89512,2.11831,2.09354,0.0098317,0.0098317,0.0098317
19,96.5572,1.6888,1.7742,1.79496,0.57192,0.53543,0.55458,0.21056,1.88937,1.85541,1.98605,0.0098218,0.0098218,0.0098218
20,101.389,1.72913,1.80341,1.84118,0.56399,0.40472,0.43435,0.17149,1.99284,2.02099,2.11105,0.0098119,0.0098119,0.0098119
21,106.57,1.70714,1.82303,1.81967,0.55141,0.58583,0.58029,0.25073,1.80229,1.68253,1.93677,0.009802,0.009802,0.009802
22,111.443,1.72259,1.81806,1.82482,0.62521,0.55956,0.59963,0.26421,1.73634,1.70643,1.88281,0.0097921,0.0097921,0.0097921
23,116.5,1.69106,1.75798,1.78399,0.5203,0.50079,0.49618,0.20203,1.85593,2.02737,2.0305,0.0097822,0.0097822,0.0097822
24,121.961,1.70012,1.77258,1.8347,0.55709,0.6063,0.5905,0.25021,1.81483,1.91679,1.95507,0.0097723,0.0097723,0.0097723
25,126.66,1.67677,1.73965,1.78975,0.56791,0.41397,0.44762,0.18876,1.97898,1.97655,2.04074,0.0097624,0.0097624,0.0097624
26,131.353,1.67265,1.75848,1.79043,0.25438,0.24724,0.19322,0.07003,2.31727,2.963,2.61515,0.0097525,0.0097525,0.0097525
27,136.541,1.69078,1.75058,1.79694,0.60071,0.55202,0.58552,0.25168,1.78762,1.86002,1.90708,0.0097426,0.0097426,0.0097426
28,141.392,1.64373,1.69078,1.75609,0.64858,0.54933,0.59411,0.26176,1.7664,1.93212,1.91472,0.0097327,0.0097327,0.0097327
29,146.376,1.66031,1.68879,1.77272,0.62806,0.58898,0.62357,0.26749,1.77081,1.7029,1.85866,0.0097228,0.0097228,0.0097228
30,151.299,1.65796,1.69054,1.7717,0.60815,0.58583,0.62025,0.28121,1.74723,1.52384,1.84127,0.0097129,0.0097129,0.0097129
31,155.962,1.65995,1.67563,1.79267,0.59402,0.53689,0.56766,0.25454,1.83851,1.63218,1.92321,0.009703,0.009703,0.009703
32,160.789,1.63602,1.65713,1.75031,0.61898,0.54803,0.5719,0.24105,1.84663,1.74107,1.96449,0.0096931,0.0096931,0.0096931
33,165.587,1.66659,1.67817,1.79335,0.47653,0.45589,0.44152,0.18906,1.83384,2.26978,1.95537,0.0096832,0.0096832,0.0096832
34,170.402,1.64512,1.65574,1.7621,0.57163,0.54646,0.56755,0.25527,1.79404,1.71076,1.9175,0.0096733,0.0096733,0.0096733
35,175.204,1.64963,1.64524,1.76074,0.70117,0.5874,0.64584,0.28634,1.78726,1.54139,1.87291,0.0096634,0.0096634,0.0096634
36,180.036,1.62318,1.64951,1.72791,0.65872,0.63465,0.6579,0.29776,1.80672,1.47895,1.90926,0.0096535,0.0096535,0.0096535
37,184.852,1.62393,1.61411,1.74147,0.66175,0.54173,0.61216,0.27255,1.85296,1.65475,1.99017,0.0096436,0.0096436,0.0096436
38,189.676,1.65225,1.64275,1.78033,0.62739,0.56535,0.60358,0.26274,1.83346,1.96627,1.96222,0.0096337,0.0096337,0.0096337
39,194.332,1.62172,1.60927,1.7305,0.63725,0.66299,0.67044,0.28977,1.82034,1.53115,1.92084,0.0096238,0.0096238,0.0096238
40,199.034,1.61923,1.59503,1.72306,0.69688,0.62996,0.67153,0.28187,1.84061,1.48897,1.9291,0.0096139,0.0096139,0.0096139
41,203.815,1.60916,1.59482,1.72956,0.63398,0.54488,0.59115,0.26659,1.79659,1.6492,1.90185,0.009604,0.009604,0.009604
42,208.809,1.62429,1.61512,1.74066,0.63214,0.58182,0.61303,0.27733,1.84023,1.57707,1.93162,0.0095941,0.0095941,0.0095941
43,213.619,1.6204,1.58019,1.73627,0.64189,0.6189,0.64794,0.29501,1.74755,1.52281,1.8957,0.0095842,0.0095842,0.0095842
44,218.422,1.61429,1.59098,1.73743,0.57155,0.58612,0.59362,0.28125,1.68575,1.53228,1.82545,0.0095743,0.0095743,0.0095743
45,223.17,1.59719,1.56738,1.72804,0.68333,0.62047,0.67393,0.29049,1.77428,1.54203,1.88383,0.0095644,0.0095644,0.0095644
46,227.936,1.62042,1.55211,1.73789,0.6394,0.63937,0.63266,0.28564,1.75194,1.48735,1.83609,0.0095545,0.0095545,0.0095545
47,232.739,1.60204,1.5683,1.7239,0.64909,0.6189,0.64495,0.29406,1.74694,1.71977,1.87368,0.0095446,0.0095446,0.0095446
48,237.547,1.61323,1.55756,1.72794,0.63908,0.6,0.63687,0.31182,1.73376,1.51154,1.81837,0.0095347,0.0095347,0.0095347
49,242.376,1.60934,1.56966,1.7254,0.52117,0.38898,0.39386,0.17196,2.01112,2.14956,2.13579,0.0095248,0.0095248,0.0095248
50,247.17,1.58267,1.54906,1.70655,0.70217,0.64975,0.69702,0.32992,1.77192,1.42153,1.87362,0.0095149,0.0095149,0.0095149
51,251.971,1.58,1.55234,1.71812,0.64327,0.60203,0.65491,0.31864,1.69947,1.53434,1.79889,0.009505,0.009505,0.009505
52,256.796,1.59392,1.50832,1.71525,0.71614,0.65554,0.71074,0.32813,1.75725,1.35851,1.85393,0.0094951,0.0094951,0.0094951
53,261.476,1.58291,1.50646,1.71706,0.73508,0.66457,0.72739,0.28982,1.88226,1.39046,1.9835,0.0094852,0.0094852,0.0094852
54,266.31,1.57466,1.48609,1.69434,0.6745,0.63937,0.68088,0.32469,1.72915,1.40694,1.84334,0.0094753,0.0094753,0.0094753
55,271.577,1.57127,1.51297,1.70313,0.73639,0.65354,0.70632,0.3387,1.75003,1.36123,1.86427,0.0094654,0.0094654,0.0094654
56,276.32,1.56924,1.49877,1.70924,0.63594,0.62992,0.62295,0.30309,1.72787,1.60958,1.82893,0.0094555,0.0094555,0.0094555
57,281.004,1.59429,1.51738,1.71342,0.68664,0.60732,0.66181,0.31523,1.78634,1.45591,1.8767,0.0094456,0.0094456,0.0094456
58,285.8,1.58775,1.53527,1.70727,0.663,0.6252,0.65979,0.3201,1.71684,1.48658,1.85839,0.0094357,0.0094357,0.0094357
59,290.484,1.59966,1.53882,1.72958,0.63561,0.57008,0.61161,0.28055,1.80384,1.57478,1.87244,0.0094258,0.0094258,0.0094258
60,295.28,1.56996,1.50347,1.70563,0.60488,0.60945,0.60963,0.26943,1.80582,1.56103,1.92812,0.0094159,0.0094159,0.0094159
61,300.075,1.54716,1.49393,1.67364,0.67649,0.58425,0.64613,0.29488,1.79925,1.51403,1.88598,0.009406,0.009406,0.009406
62,304.904,1.56975,1.48164,1.68535,0.6755,0.62613,0.68032,0.3372,1.73792,1.43547,1.81067,0.0093961,0.0093961,0.0093961
63,309.721,1.58427,1.47931,1.68377,0.68907,0.66299,0.67568,0.32052,1.7682,1.62358,1.83142,0.0093862,0.0093862,0.0093862
64,314.532,1.57245,1.49321,1.68799,0.71876,0.66408,0.729,0.35822,1.68886,1.45244,1.79078,0.0093763,0.0093763,0.0093763
65,319.351,1.54846,1.45674,1.66718,0.75818,0.66299,0.72635,0.35769,1.72419,1.41226,1.80787,0.0093664,0.0093664,0.0093664
66,324.094,1.54625,1.43602,1.67908,0.72097,0.66733,0.71066,0.34927,1.75132,1.50029,1.84285,0.0093565,0.0093565,0.0093565
67,328.891,1.5459,1.4699,1.67426,0.65246,0.67559,0.69708,0.32019,1.70147,1.44034,1.78636,0.0093466,0.0093466,0.0093466
68,333.552,1.56992,1.48084,1.69933,0.66809,0.63715,0.65877,0.3191,1.74444,1.59307,1.83976,0.0093367,0.0093367,0.0093367
69,338.287,1.54987,1.45852,1.6702,0.70687,0.5937,0.66986,0.31976,1.75346,1.43622,1.86436,0.0093268,0.0093268,0.0093268
70,342.928,1.53895,1.44564,1.68342,0.66401,0.66929,0.69775,0.33781,1.74545,1.39047,1.87069,0.0093169,0.0093169,0.0093169
71,347.523,1.53759,1.42831,1.67191,0.62333,0.60472,0.59797,0.26372,1.82874,1.60622,1.92649,0.009307,0.009307,0.009307
72,352.117,1.53661,1.44981,1.67298,0.66508,0.66457,0.70067,0.34493,1.72219,1.33609,1.84283,0.0092971,0.0092971,0.0092971
73,356.687,1.537,1.46493,1.65343,0.72176,0.5874,0.66996,0.29342,1.81985,1.43221,1.91191,0.0092872,0.0092872,0.0092872
74,361.279,1.52317,1.40293,1.66011,0.7143,0.66772,0.72624,0.35173,1.7449,1.35442,1.83989,0.0092773,0.0092773,0.0092773
75,365.883,1.52447,1.40338,1.65872,0.74349,0.69134,0.77503,0.38858,1.67247,1.25001,1.78551,0.0092674,0.0092674,0.0092674
76,370.501,1.5169,1.38859,1.65647,0.68573,0.70079,0.72196,0.35056,1.75625,1.27685,1.84727,0.0092575,0.0092575,0.0092575
77,375.136,1.53904,1.39362,1.67001,0.6618,0.64715,0.65627,0.30968,1.80725,1.57982,1.93006,0.0092476,0.0092476,0.0092476
78,379.899,1.54691,1.40404,1.66802,0.68741,0.67531,0.71148,0.33797,1.72841,1.42056,1.841,0.0092377,0.0092377,0.0092377
79,384.574,1.52076,1.3742,1.65038,0.71444,0.68504,0.72407,0.35278,1.71295,1.36011,1.7824,0.0092278,0.0092278,0.0092278
80,389.426,1.5332,1.39578,1.66448,0.6913,0.68504,0.70944,0.33291,1.77751,1.39528,1.91724,0.0092179,0.0092179,0.0092179
81,394.139,1.53739,1.38205,1.67332,0.71623,0.65039,0.72928,0.36569,1.71688,1.2804,1.79876,0.009208,0.009208,0.009208
82,398.839,1.53142,1.41886,1.66929,0.66949,0.67402,0.69744,0.34895,1.68443,1.4296,1.78776,0.0091981,0.0091981,0.0091981
83,403.446,1.51246,1.38874,1.64919,0.74665,0.64882,0.73056,0.36775,1.73852,1.31775,1.84038,0.0091882,0.0091882,0.0091882
84,408.076,1.50856,1.34563,1.63607,0.68718,0.72283,0.71657,0.33934,1.77483,1.31832,1.87604,0.0091783,0.0091783,0.0091783
85,412.681,1.52368,1.37826,1.65428,0.69103,0.67244,0.70553,0.33297,1.74797,1.36519,1.85698,0.0091684,0.0091684,0.0091684
86,417.332,1.50545,1.39966,1.65105,0.70376,0.68346,0.72896,0.34755,1.8204,1.34395,1.9182,0.0091585,0.0091585,0.0091585
