epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.93611,2.10472,0.02752,2.1125,0.00181,0.27874,0.00117,0.00031,3.98169,13.9133,25.5472,0.0707317,0.00325203,0.00325203
2,15.7446,2.188,0.02825,2.20013,0.00074,0.09921,0.0004,0.00011,4.25719,6.13017,8.85641,0.0406665,0.00652017,0.00652017
3,22.2793,2.13788,0.02707,2.17128,0.06533,0.06142,0.01832,0.00555,2.71389,2.55359,4.38807,0.0105353,0.00972231,0.00972231
4,28.652,2.06327,0.02665,2.09706,0.05357,0.11811,0.02988,0.00931,3.00214,0.06036,8.19597,0.009703,0.009703,0.009703
5,35.2081,2.02861,0.02572,2.06475,0.03326,0.15748,0.01881,0.00512,2.71099,0.29742,3.45821,0.009604,0.009604,0.009604
6,41.8941,2.01352,0.02519,2.03147,0.09712,0.12913,0.04884,0.0168,2.62455,0.04964,2.9186,0.009505,0.009505,0.009505
7,48.6777,1.96675,0.02442,2.00349,0.01743,0.08661,0.00942,0.00267,2.54027,0.10329,4.05788,0.009406,0.009406,0.009406
8,55.3318,1.9423,0.0239,1.98175,0.14108,0.24724,0.11149,0.04126,2.14576,0.03789,2.351,0.009307,0.009307,0.009307
9,62.0852,1.91765,0.02312,1.92903,0.3395,0.27402,0.24666,0.10058,2.04393,0.03562,2.08376,0.009208,0.009208,0.009208
10,68.5707,1.91674,0.0229,1.92276,0.42649,0.31268,0.32733,0.12748,2.0196,0.02918,2.09449,0.009109,0.009109,0.009109
11,74.9158,1.8738,0.02253,1.89471,0.3796,0.31024,0.27984,0.11494,2.02265,0.02383,2.06826,0.00901,0.00901,0.00901
12,81.2546,1.87183,0.02235,1.87997,0.41745,0.33071,0.31256,0.1263,1.93429,0.02461,1.97187,0.008911,0.008911,0.008911
13,87.539,1.84917,0.02214,1.87914,0.31999,0.29291,0.24217,0.09418,2.06691,0.02806,2.0943,0.008812,0.008812,0.008812
14,93.8365,1.83942,0.02207,1.86854,0.39403,0.38912,0.33378,0.13528,1.87792,0.02388,1.91022,0.008713,0.008713,0.008713
15,100.363,1.82404,0.0217,1.83613,0.39721,0.34961,0.3164,0.13375,1.98799,0.02323,2.01973,0.008614,0.008614,0.008614
16,106.676,1.8176,0.02144,1.84287,0.40449,0.29606,0.27467,0.10545,2.01974,0.02627,2.09134,0.008515,0.008515,0.008515
17,112.959,1.83539,0.02138,1.84432,0.31104,0.34646,0.27185,0.11854,1.91067,0.02404,1.86326,0.008416,0.008416,0.008416
18,119.351,1.79682,0.02118,1.81722,0.46469,0.42047,0.40896,0.16788,1.94583,0.02059,1.99474,0.008317,0.008317,0.008317
19,125.712,1.79023,0.0208,1.7973,0.46669,0.41732,0.4162,0.18612,1.85199,0.02147,1.83991,0.008218,0.008218,0.008218
20,132.059,1.78518,0.02085,1.81035,0.38095,0.28976,0.24295,0.10421,2.0801,0.02788,2.23514,0.008119,0.008119,0.008119
21,138.433,1.80268,0.0212,1.8382,0.36044,0.36063,0.30197,0.12304,1.93214,0.02592,2.05891,0.00802,0.00802,0.00802
22,145.033,1.77366,0.02092,1.80258,0.48485,0.38425,0.39913,0.15863,1.95503,0.02263,1.97843,0.007921,0.007921,0.007921
23,152.646,1.75154,0.02036,1.79365,0.44207,0.23307,0.23715,0.09902,2.05866,0.03027,2.08702,0.007822,0.007822,0.007822
24,159.092,1.75141,0.02084,1.80172,0.45943,0.32441,0.32693,0.12503,2.05008,0.02574,2.07389,0.007723,0.007723,0.007723
25,165.487,1.74814,0.0202,1.78606,0.48399,0.46084,0.46957,0.20442,1.82516,0.02272,1.84588,0.007624,0.007624,0.007624
26,171.891,1.77064,0.02042,1.80048,0.50292,0.47087,0.47132,0.2,1.81891,0.01903,1.83741,0.007525,0.007525,0.007525
27,178.286,1.75951,0.0203,1.79279,0.59634,0.41575,0.46999,0.20605,1.82256,0.01918,1.86606,0.007426,0.007426,0.007426
28,184.604,1.71185,0.01955,1.74349,0.4577,0.43937,0.40416,0.16936,1.82354,0.01996,1.86103,0.007327,0.007327,0.007327
29,190.91,1.73132,0.01953,1.77155,0.62593,0.40581,0.47869,0.20522,1.82468,0.02027,1.85934,0.007228,0.007228,0.007228
30,197.24,1.72642,0.01961,1.75573,0.5004,0.50709,0.49926,0.22173,1.7515,0.01938,1.74941,0.007129,0.007129,0.007129
31,203.569,1.72074,0.01981,1.77067,0.32828,0.2315,0.20236,0.08103,2.17878,0.03366,2.33365,0.00703,0.00703,0.00703
32,209.878,1.67533,0.01929,1.72378,0.51693,0.48189,0.4896,0.21906,1.76226,0.01874,1.78646,0.006931,0.006931,0.006931
33,216.213,1.70096,0.01965,1.75773,0.4851,0.49606,0.47526,0.19663,1.76818,0.02137,1.85994,0.006832,0.006832,0.006832
34,222.565,1.70504,0.01921,1.74267,0.54343,0.48661,0.52007,0.21782,1.82612,0.01887,1.82389,0.006733,0.006733,0.006733
35,228.863,1.68654,0.01892,1.73203,0.48972,0.49723,0.49439,0.21472,1.82765,0.0191,1.85019,0.006634,0.006634,0.006634
36,235.166,1.68564,0.01938,1.72123,0.57007,0.49291,0.52115,0.23691,1.76884,0.01786,1.80866,0.006535,0.006535,0.006535
37,241.59,1.67056,0.01891,1.72272,0.53196,0.43852,0.46949,0.2049,1.90087,0.0202,1.93147,0.006436,0.006436,0.006436
38,247.994,1.68603,0.01916,1.73602,0.50932,0.34817,0.36665,0.16323,1.91885,0.02439,1.96804,0.006337,0.006337,0.006337
39,254.411,1.65938,0.0186,1.69264,0.53971,0.46614,0.49152,0.20633,1.87007,0.01857,1.85569,0.006238,0.006238,0.006238
40,260.742,1.66909,0.01868,1.70872,0.53964,0.57323,0.55819,0.2357,1.76903,0.01766,1.82976,0.006139,0.006139,0.006139
41,267.076,1.64626,0.01853,1.71374,0.5649,0.51654,0.54883,0.25076,1.70313,0.0178,1.75669,0.00604,0.00604,0.00604
42,273.525,1.66197,0.01876,1.70946,0.49187,0.46614,0.43821,0.19562,1.752,0.01925,1.803,0.005941,0.005941,0.005941
43,279.957,1.66857,0.01836,1.70572,0.56563,0.48504,0.51835,0.23329,1.79567,0.01893,1.808,0.005842,0.005842,0.005842
44,286.339,1.65528,0.01857,1.70692,0.63857,0.50236,0.57288,0.25315,1.71853,0.01777,1.75639,0.005743,0.005743,0.005743
45,292.689,1.65507,0.01832,1.70068,0.53689,0.51024,0.52375,0.2323,1.78319,0.01961,1.8155,0.005644,0.005644,0.005644
46,299.064,1.65404,0.01815,1.68896,0.57825,0.45197,0.5031,0.23348,1.72898,0.01855,1.79125,0.005545,0.005545,0.005545
47,306.148,1.62729,0.01812,1.68064,0.60502,0.53311,0.59375,0.26709,1.75578,0.01646,1.79771,0.005446,0.005446,0.005446
48,312.58,1.63584,0.01817,1.69839,0.53129,0.50551,0.5369,0.24105,1.75719,0.01732,1.77829,0.005347,0.005347,0.005347
49,319.073,1.63811,0.01829,1.69016,0.54323,0.50551,0.53015,0.24624,1.71905,0.01775,1.78439,0.005248,0.005248,0.005248
50,325.416,1.61944,0.01796,1.67106,0.54088,0.56214,0.56483,0.24487,1.79426,0.01712,1.79132,0.005149,0.005149,0.005149
51,331.881,1.62545,0.01817,1.67838,0.52551,0.43465,0.47743,0.22937,1.7652,0.01855,1.77718,0.00505,0.00505,0.00505
52,338.211,1.62055,0.01784,1.66193,0.57784,0.52598,0.56006,0.24556,1.74978,0.01741,1.77969,0.004951,0.004951,0.004951
53,344.49,1.61284,0.01781,1.68807,0.51575,0.44882,0.48944,0.20876,1.76737,0.01913,1.79804,0.004852,0.004852,0.004852
54,350.81,1.59887,0.01747,1.64421,0.52861,0.53701,0.54877,0.25001,1.76995,0.01742,1.78041,0.004753,0.004753,0.004753
55,357.097,1.60734,0.01772,1.66823,0.56898,0.5622,0.55799,0.26297,1.71911,0.01724,1.75047,0.004654,0.004654,0.004654
56,363.387,1.5869,0.0176,1.66183,0.55432,0.54803,0.55095,0.24956,1.70563,0.01959,1.73922,0.004555,0.004555,0.004555
57,369.657,1.6176,0.0179,1.67584,0.57826,0.55925,0.58466,0.26548,1.74505,0.01713,1.7731,0.004456,0.004456,0.004456
58,375.928,1.60358,0.0176,1.66357,0.61036,0.52756,0.5729,0.26284,1.77499,0.01726,1.80298,0.004357,0.004357,0.004357
59,382.206,1.60357,0.01748,1.6751,0.54898,0.54331,0.52879,0.25452,1.68922,0.01823,1.72811,0.004258,0.004258,0.004258
60,388.475,1.59703,0.01749,1.65959,0.57062,0.58898,0.59833,0.27343,1.72528,0.01652,1.78147,0.004159,0.004159,0.004159
61,394.775,1.58191,0.01717,1.6481,0.60911,0.5748,0.59953,0.26466,1.77997,0.01664,1.79721,0.00406,0.00406,0.00406
62,401.086,1.58015,0.01741,1.64262,0.61118,0.49921,0.57312,0.26246,1.73904,0.01621,1.7844,0.003961,0.003961,0.003961
63,407.362,1.58603,0.01727,1.64362,0.59021,0.53755,0.58187,0.27622,1.72306,0.01729,1.78101,0.003862,0.003862,0.003862
64,413.669,1.58343,0.01704,1.65018,0.63943,0.53858,0.61371,0.27679,1.74121,0.01664,1.79958,0.003763,0.003763,0.003763
65,419.989,1.55755,0.01714,1.63503,0.60568,0.59055,0.62567,0.30068,1.68292,0.01683,1.74341,0.003664,0.003664,0.003664
